,Label,VehicleID,Distance_driven,Sum_warning,Sum_warning_speed,Sum_secure_dist,Sum_TTC_respect,Sum_safe_dist,Sum_Emergency_Brake
0,Normal,normal0,2328.7776234893345,16,15,1,0,0,0
1,Dangerous,dang0,2327.731091951815,99,47,46,0,4,2
2,Normal,normal1,4196.746790046131,3,3,0,0,0,0
3,Slow,slow0,2332.7481504700404,1,0,0,0,0,1
4,Dangerous,dang1,4192.0286622184285,183,20,155,3,5,0
5,Normal,normal2,3572.492561641039,68,68,0,0,0,0
6,Dangerous,dang2,3576.8773029486565,25,24,1,0,0,0
7,Slow,slow1,4193.14413749886,0,0,0,0,0,0
8,Normal,normal3,4045.4012439630196,9,9,0,0,0,0
9,Dangerous,dang3,4033.7867412979376,134,17,109,1,5,2
10,Normal,normal4,4183.4018744132745,46,44,1,0,0,1
11,Slow,slow3,4050.874450141495,1,0,0,0,0,1
12,Dangerous,dang4,4184.322475416224,123,63,41,2,17,0
13,Normal,normal5,1023.6782186977529,4,4,0,0,0,0
14,Slow,slow4,4195.1938727823335,1,0,0,0,0,1
15,Dangerous,dang5,1018.0484753848061,72,7,60,1,4,0
16,Normal,normal6,3315.7987581223624,1,0,1,0,0,0
17,Slow,slow5,1026.9583778744811,0,0,0,0,0,0
18,Dangerous,dang6,3314.5582276914915,184,10,113,0,61,0
19,Normal,normal7,2823.067931761465,3,3,0,0,0,0
20,Slow,slow6,3311.470714462919,1,0,0,0,0,1
21,Dangerous,dang7,2824.830339025264,174,4,138,0,32,0
22,Normal,normal8,4349.246526006923,62,62,0,0,0,0
23,Slow,slow7,2813.6320217533075,0,0,0,0,0,0
24,Dangerous,dang8,4338.476574072751,186,57,107,1,21,0
25,Normal,normal9,3495.2090431989927,54,54,0,0,0,0
26,Slow,slow8,4333.969034771329,1,0,0,0,0,1
27,Dangerous,dang9,3506.214188460613,174,102,50,1,21,0
28,Normal,normal10,2745.07155849014,4,3,1,0,0,0
29,Slow,slow9,3475.8863319908355,0,0,0,0,0,0
30,Dangerous,dang10,2732.705200643851,98,14,82,0,2,0
31,Slow,slow10,2739.470262568144,0,0,0,0,0,0
32,Normal,normal11,4346.383257545861,42,42,0,0,0,0
33,Dangerous,dang11,4614.3033803460285,114,3,8,6,95,2
34,Normal,normal12,4933.258484024079,36,36,0,0,0,0
35,Slow,slow11,4348.863725473923,0,0,0,0,0,0
36,Dangerous,dang12,4932.498072131521,177,39,78,8,51,1
37,Slow,slow2,3570.184756096831,0,0,0,0,0,0
38,Normal,normal13,3781.5448254562048,3,2,1,0,0,0
39,Dangerous,dang13,3777.550438180424,98,14,83,0,0,1
40,Slow,slow12,4908.844594843701,2,1,0,0,0,1
41,Slow,slow13,3780.3357128852076,1,0,0,0,0,1
42,Normal,normal14,1813.931205401137,7,7,0,0,0,0
43,Dangerous,dang14,1825.7517203818793,97,55,30,0,12,0
44,Normal,normal15,5180.343763523287,10,9,0,0,0,1
45,Slow,slow14,1812.6936802072726,0,0,0,0,0,0
46,Dangerous,dang15,5194.118897086526,100,13,48,3,35,1
47,Normal,normal16,3672.7478218292968,2,2,0,0,0,0
48,Slow,slow15,5189.09334097706,0,0,0,0,0,0
49,Dangerous,dang16,3668.41782620121,174,109,55,1,9,0
50,Normal,normal17,4434.040286643245,4,3,0,0,0,1
51,Slow,slow16,3677.8314979383945,0,0,0,0,0,0
52,Dangerous,dang17,4423.573602285927,170,55,67,1,46,1
53,Normal,normal18,2145.918702814765,0,0,0,0,0,0
54,Slow,slow17,4441.073174204421,0,0,0,0,0,0
55,Dangerous,dang18,2151.638820279192,8,7,1,0,0,0
56,Normal,normal19,4257.833435864209,21,21,0,0,0,0
57,Dangerous,dang19,4261.371895573967,105,52,49,0,2,2
58,Slow,slow18,2145.3144852665587,0,0,0,0,0,0
59,Normal,normal20,3365.586308319907,1,0,1,0,0,0
60,Slow,slow19,4262.676836178654,0,0,0,0,0,0
61,Dangerous,dang20,3353.8676146821163,162,128,20,0,14,0
62,Normal,normal21,2498.287201742873,22,22,0,0,0,0
63,Slow,slow20,3361.125296045371,1,0,0,0,0,1
64,Dangerous,dang21,2506.8375859657394,211,24,112,3,72,0
65,Normal,normal22,6176.707277621903,2,2,0,0,0,0
66,Slow,slow21,2498.544004235717,2,2,0,0,0,0
67,Dangerous,dang22,6177.794280890018,316,97,86,5,127,1
68,Normal,normal23,1646.3542597301737,2,2,0,0,0,0
69,Slow,slow22,6178.591044319567,0,0,0,0,0,0
70,Dangerous,dang23,1639.7760795910474,113,3,103,0,7,0
71,Slow,slow23,1649.8298918053122,0,0,0,0,0,0
72,Normal,normal25,5230.358932303908,176,174,0,0,0,2
73,Dangerous,dang25,5544.910333769961,18,12,6,0,0,0
74,Normal,normal26,4935.131066503961,17,15,0,0,0,2
75,Slow,slow25,5236.376726187862,0,0,0,0,0,0
76,Dangerous,dang26,4926.300657469761,126,18,81,0,27,0
77,Normal,normal27,3108.0931359203496,1,1,0,0,0,0
