,Label,VehicleID,Distance_driven,Sum_warning,Sum_warning_speed,Sum_secure_dist,Sum_TTC_respect,Sum_safe_dist,Sum_Emergency_Brake
0,Normal,normal0,2330.808352194566,19,18,1,0,0,0
1,Normal,normal1,4194.7578242328045,5,5,0,0,0,0
2,Normal,normal2,3573.412901173817,86,85,0,0,0,1
3,Dangerous,dang0,2330.1893893753263,102,56,43,2,1,0
4,Dangerous,dang2,3569.907086104396,38,30,4,2,0,2
5,Normal,normal3,4053.4059799376,14,14,0,0,0,0
6,Dangerous,dang1,4190.984918597079,193,26,153,3,9,2
7,Normal,normal4,4186.820983771697,53,46,2,2,3,0
8,Normal,normal5,1028.2119050736364,9,5,4,0,0,0
9,Slow,slow0,2331.7529170593084,2,0,0,2,0,0
10,Dangerous,dang3,4037.94054801981,133,17,99,1,16,0
11,Normal,normal6,3307.3431923030653,11,0,0,1,10,0
12,Slow,slow1,4193.540998354834,2,0,0,2,0,0
13,Slow,slow2,3570.471408205308,9,0,7,2,0,0
14,Dangerous,dang4,4191.3539778685745,128,45,53,0,30,0
15,Normal,normal7,2822.04166481316,6,1,0,2,3,0
16,Dangerous,dang5,1020.0824147535193,50,19,24,5,2,0
17,Normal,normal8,4355.78436658117,34,1,5,2,26,0
18,Slow,slow3,4042.60477075941,0,0,0,0,0,0
19,Dangerous,dang6,3311.5481618144613,167,10,104,4,48,1
20,Normal,normal9,3487.7732532243017,57,57,0,0,0,0
21,Slow,slow4,4185.64158062967,4,0,1,3,0,0
22,Dangerous,dang7,2814.9342194198825,214,0,149,3,61,1
23,Normal,normal10,2736.4803278572167,112,3,13,1,95,0
24,Slow,slow5,1025.8730780274911,0,0,0,0,0,0
25,Dangerous,dang8,4354.9271717008505,211,91,72,10,36,2
26,Normal,normal11,4349.6664904144745,67,40,3,2,22,0
27,Slow,slow6,3316.004910513639,2,0,0,0,0,2
28,Dangerous,dang10,2732.1574805408773,191,13,113,12,51,2
29,Dangerous,dang9,3501.7331980810977,155,103,46,1,5,0
30,Normal,normal12,4931.665150984261,93,47,6,4,36,0
31,Slow,slow7,2819.535681612277,5,0,0,5,0,0
32,Normal,normal13,3782.373491806102,5,2,0,0,3,0
33,Slow,slow10,2737.045572123539,2,0,0,2,0,0
34,Slow,slow8,4340.09633852293,6,0,1,5,0,0
35,Dangerous,dang11,4486.118450217534,209,51,76,9,68,5
36,Normal,normal14,1814.8692497079307,11,11,0,0,0,0
37,Slow,slow9,3477.86124443572,0,0,0,0,0,0
38,Dangerous,dang12,4937.866951299781,206,157,38,5,5,1
39,Dangerous,dang13,3781.3414735000715,37,13,24,0,0,0
40,Normal,normal15,5177.262983724042,59,11,2,7,38,1
41,Normal,normal16,3676.421207379825,3,2,0,1,0,0
42,Slow,slow11,4357.4976923152035,8,0,0,8,0,0
43,Slow,slow13,3776.1684347370456,1,0,1,0,0,0
44,Dangerous,dang14,1827.425749367393,83,49,29,1,4,0
45,Normal,normal17,4444.919560287406,5,5,0,0,0,0
46,Slow,slow12,4912.98842983655,7,0,6,1,0,0
47,Dangerous,dang15,5200.008848675872,201,57,96,12,31,5
48,Normal,normal18,2149.8476948707857,0,0,0,0,0,0
49,Dangerous,dang16,3682.365449814721,193,54,115,6,18,0
50,Normal,normal19,4253.09194664959,29,28,1,0,0,0
51,Slow,slow14,1812.8957629738238,2,0,2,0,0,0
52,Dangerous,dang17,4437.53821481676,234,68,143,8,15,0
53,Normal,normal20,3360.1507987861755,13,0,5,0,8,0
54,Slow,slow15,5190.513752936475,9,0,0,9,0,0
55,Dangerous,dang18,2150.4573063892435,8,7,0,0,0,1
56,Normal,normal21,2497.6552103727417,21,19,0,1,0,1
57,Slow,slow16,3678.0395144455133,8,0,5,3,0,0
58,Dangerous,dang19,4258.093941184189,90,47,42,0,1,0
59,Normal,normal22,6180.824506664129,8,1,6,0,0,1
60,Slow,slow17,4442.267933241224,0,0,0,0,0,0
61,Dangerous,dang20,3355.3386654256174,197,128,16,5,47,1
62,Normal,normal23,1649.23428013961,2,2,0,0,0,0
63,Dangerous,dang21,2491.730631571908,145,74,37,5,27,2
64,Slow,slow19,4260.209306050263,1,0,0,1,0,0
65,Dangerous,dang22,6170.329062856604,216,96,80,0,39,1
66,Normal,normal25,5234.210699765372,170,164,2,2,0,2
67,Slow,slow18,2147.1482987803975,0,0,0,0,0,0
68,Slow,slow20,3361.09093355968,7,0,1,6,0,0
69,Dangerous,dang23,1644.1474761070729,111,2,100,3,6,0
70,Normal,normal26,4937.556273580906,25,16,9,0,0,0
71,Slow,slow21,2503.718231165904,2,0,0,2,0,0
72,Normal,normal27,3111.058299062245,33,0,0,0,33,0
73,Slow,slow22,6180.391892542541,16,0,6,9,0,1
74,Dangerous,dang25,5552.768734492885,25,11,12,1,1,0
75,Normal,normal28,1758.3817697837992,47,47,0,0,0,0
76,Slow,slow23,1646.5042963398773,0,0,0,0,0,0
77,Dangerous,dang26,4935.469235976754,225,81,125,0,17,2
